,sms,spam,profan,profan-prob,
0,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face &lt;#&gt; .joker face.,FALSE,TRUE,0.950815428,
1,Hhahhaahahah rofl was leonardo in your room or something,FALSE,TRUE,0.933739401,
4,Oh for  sake she's in like ,FALSE,TRUE,0.879296051,
5,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a :),FALSE,TRUE,0.873533956,
6,Lul im gettin some juicy gossip at the hospital.  Oyea.,FALSE,TRUE,0.869892815,
7,"My planning usually stops at ""find hella weed, smoke hella weed""",FALSE,TRUE,0.862156495,
8,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,FALSE,TRUE,0.829662844,
9,"""HI BABE UAWAKE?FEELLIKW .JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS Â– (oofin) NICE!,.ANYWAY,IÂ’L CALL U""",FALSE,TRUE,0.799404126,
10,Ho ho - big belly laugh! See ya tomo,FALSE,TRUE,0.772720974,
11,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",TRUE,TRUE,0.758578401,
12,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,FALSE,TRUE,0.74652862,
13,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,FALSE,TRUE,0.744114972,
14,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",FALSE,TRUE,0.721443172,
15,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",FALSE,TRUE,0.706085033,
16,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,FALSE,TRUE,0.697823321,
17,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",FALSE,TRUE,0.691157731,
18,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a /make them smoke too much/impede their doing other things so you see how I'm hesitant,FALSE,TRUE,0.681519251,
19,Get me out of this dump heap. My mom decided to come to lowes. BORING.,FALSE,TRUE,0.648523567,
20,"Sorry I flaked last night,  seriously goin down with my roommate, what you up to tonight?",FALSE,TRUE,0.64415138,
